date,SR_2Y,SR_5Y,SR_10Y,SR_30Y
2025-06-09,1.8562,2.1607,2.6758,2.9572
2025-06-10,1.8337,2.1175,2.6168,2.8595
2025-06-11,1.8055,2.1241,2.6215,2.9106
2025-06-12,1.7980,2.0861,2.5778,2.8862
2025-06-13,1.8343,2.1081,2.6032,2.8421
2025-06-16,1.8311,2.1136,2.6215,2.8552
2025-06-17,1.8500,2.1335,2.6218,2.9067
2025-06-18,1.8339,2.1140,2.6011,2.8831
2025-06-19,1.8271,2.1102,2.6020,2.8810
2025-06-20,1.8361,2.1173,2.6143,2.8943
2025-06-23,1.8550,2.1123,2.6073,2.8734
2025-06-24,1.8486,2.1359,2.6498,2.9326
2025-06-25,1.8510,2.1494,2.6644,2.9752
2025-06-26,1.8169,2.1210,2.6578,2.9861
2025-06-27,1.8455,2.1564,2.6868,2.9940
2025-06-30,1.8449,2.1560,2.6792,2.9683
2025-07-01,1.8240,2.1361,2.6532,2.9373
2025-07-02,1.8484,2.1886,2.7236,3.0389
2025-07-03,1.8348,2.1589,2.6868,2.9940
2025-07-04,1.8059,2.1175,2.6527,2.9763
2025-07-07,1.8303,2.1606,2.6964,3.0234
2025-07-08,1.8665,2.2014,2.7430,3.0616
2025-07-09,1.8470,2.1905,2.7333,3.0817
2025-07-10,1.8673,2.2168,2.7572,3.1145
2025-07-11,1.9032,2.2438,2.7877,3.1344
2025-07-14,1.8699,2.2344,2.7891,3.1597
2025-07-15,1.8413,2.2000,2.7457,3.1205
2025-07-16,1.8310,2.1888,2.7466,3.1361
2025-07-17,1.8272,2.1757,2.7366,3.1315
2025-07-18,1.8421,2.1962,2.7570,3.1481
2025-07-21,1.8098,2.1224,2.6769,3.0610
2025-07-22,1.7986,2.1025,2.6602,3.0486
2025-07-23,1.7905,2.1093,2.6658,3.0783
2025-07-24,1.8858,2.2095,2.7535,3.1259
2025-07-25,1.9268,2.2530,2.7933,3.1569
2025-07-28,1.8843,2.2087,2.7556,3.1301
2025-07-29,1.9077,2.2310,2.7686,3.1305
2025-07-30,1.9284,2.2477,2.7787,3.1340
2025-07-31,1.9362,2.2466,2.7631,3.1156
2025-08-01,1.8823,2.2018,2.7295,3.1134
2025-08-04,1.8778,2.1787,2.7032,3.0897
2025-08-05,1.8795,2.1778,2.6948,3.0890
2025-08-06,1.8797,2.1775,2.7046,3.0965
2025-08-07,1.8911,2.1894,2.7076,3.0868
2025-08-08,1.9354,2.2382,2.7574,3.1344
2025-08-11,1.9399,2.2439,2.7614,3.1486
2025-08-12,1.9513,2.2757,2.8202,3.1861
2025-08-13,1.9144,2.2142,2.7607,3.1747
2025-08-14,1.9218,2.2299,2.7790,3.1912
2025-08-15,1.9297,2.2864,2.8431,3.2965
2025-08-18,1.9362,2.2667,2.8344,3.2711
2025-08-19,1.9299,2.2626,2.8220,3.2761
2025-08-20,1.9028,2.2264,2.7890,3.2457
2025-08-21,1.9396,2.2674,2.8212,3.2768
2025-08-22,1.9473,2.2574,2.8081,3.2303
2025-08-25,1.9579,2.2863,2.8420,3.3001
2025-08-26,1.9200,2.2336,2.8030,3.2824
2025-08-27,1.9044,2.2145,2.7933,3.2810
2025-08-28,1.9145,2.2091,2.7721,3.2569
2025-08-29,1.9214,2.2196,2.7855,3.2816
2025-09-01,1.9289,2.2394,2.8202,3.3115
2025-09-02,1.9548,2.2772,2.8584,3.3612
2025-09-03,1.9325,2.2435,2.8209,3.3265
2025-09-04,1.9265,2.2226,2.7880,3.2801
2025-09-05,1.9033,2.1856,2.7458,3.2679
2025-09-08,1.8960,2.1607,2.7206,3.2135
2025-09-09,1.9051,2.1837,2.7374,3.2545
2025-09-10,1.9142,2.1856,2.7349,3.2502
2025-09-11,1.9532,2.2210,2.7437,3.2459
2025-09-12,1.9791,2.2636,2.7793,3.2520
2025-09-15,1.9720,2.2518,2.7663,3.2426
2025-09-16,1.9779,2.2507,2.7626,3.2385
2025-09-17,1.9644,2.2425,2.7440,3.2071
2025-09-18,1.9780,2.2611,2.7888,3.2413
2025-09-19,1.9896,2.2810,2.8111,3.2716
2025-09-22,1.9853,2.2770,2.8191,3.2966
2025-09-23,1.9956,2.2937,2.8184,3.2985
2025-09-24,1.9874,2.2852,2.8189,3.2938
2025-09-25,2.0095,2.3139,2.8373,3.2855
2025-09-26,1.9994,2.2979,2.8197,3.2722
2025-09-29,1.9957,2.2792,2.7860,3.2234
2025-09-30,1.9908,2.2734,2.7787,3.2323
2025-10-01,1.9762,2.2531,2.7688,3.2362
2025-10-02,1.9917,2.2737,2.7848,3.2501
2025-10-03,1.9940,2.2688,2.7678,3.2326
2025-10-06,1.9808,2.2652,2.7856,3.2546
2025-10-07,1.9857,2.2805,2.8018,3.2759
2025-10-08,1.9630,2.2386,2.7556,3.2261
2025-10-09,1.9726,2.2600,2.7727,3.2394
2025-10-10,1.9587,2.2341,2.7418,3.2125
2025-10-13,1.9307,2.1908,2.7066,3.1578
2025-10-14,1.9169,2.1788,2.6787,3.1535
2025-10-15,1.9002,2.1450,2.6483,3.0993
2025-10-16,1.9038,2.1528,2.6626,3.1196
2025-10-17,1.8984,2.1511,2.6597,3.1304
2025-10-20,1.8984,2.1560,2.6652,3.1300
2025-10-21,1.8886,2.1360,2.6316,3.0894
2025-10-22,1.8989,2.1463,2.6456,3.0980
2025-10-23,1.9077,2.1577,2.6590,3.1168
2025-10-24,1.9493,2.2148,2.7104,3.1710
2025-10-27,1.9526,2.2149,2.7045,3.1618
2025-10-28,1.9502,2.2104,2.6978,3.1520
2025-10-29,1.9450,2.2106,2.7030,3.1558
2025-10-30,1.9665,2.2349,2.7162,3.1619
2025-10-31,1.9496,2.2252,2.7216,3.1840
2025-11-03,1.9602,2.2412,2.7280,3.2054
2025-11-04,1.9545,2.2349,2.7254,3.2109
2025-11-05,1.9540,2.2411,2.7362,3.2077
2025-11-06,1.9634,2.2441,2.7333,3.2153
2025-11-07,1.9723,2.2480,2.7519,3.2337
2025-11-10,1.9713,2.2474,2.7474,3.2288
2025-11-11,1.9709,2.2449,2.7362,3.2217
2025-11-12,1.9758,2.2371,2.7238,3.1966
2025-11-13,1.9947,2.2729,2.7505,3.2330
2025-11-14,1.9898,2.2912,2.7812,3.2751
2025-11-17,2.0020,2.2980,2.7879,3.2864
2025-11-18,1.9801,2.2652,2.7726,3.2666
2025-11-19,1.9897,2.2682,2.7852,3.2739
2025-11-20,2.0068,2.2851,2.8113,3.3056
2025-11-21,1.9778,2.2580,2.7865,3.2957
2025-11-24,1.9981,2.2753,2.7871,3.2863
2025-11-25,1.9924,2.2614,2.7575,3.2805
2025-11-26,1.9959,2.2669,2.7670,3.2968
2025-11-27,1.9993,2.2669,2.7643,3.2929
2025-11-28,2.0086,2.2771,2.7738,3.2990
2025-12-01,2.0362,2.3242,2.8400,3.3651
2025-12-02,2.0263,2.3391,2.8412,3.3989
2025-12-03,2.0245,2.3177,2.8268,3.3732
2025-12-04,2.0454,2.3434,2.8490,3.3838
2025-12-05,2.0529,2.3667,2.8720,3.4248
2025-12-08,2.1128,2.4467,2.9378,3.4536
2025-12-09,2.1152,2.4426,2.9324,3.4512
2025-12-10,2.1335,2.4694,2.9466,3.4532
2025-12-11,2.1223,2.4476,2.9271,3.4330
2025-12-12,2.1260,2.4631,2.9548,3.4702
2025-12-15,2.1145,2.4392,2.9238,3.4424
2025-12-16,2.1131,2.4503,2.9448,3.4663
2025-12-17,2.1027,2.4421,2.9461,3.4621
2025-12-18,2.1003,2.4422,2.9490,3.4984
2025-12-19,2.1198,2.4687,2.9803,3.5325
2025-12-22,2.1227,2.4828,2.9967,3.5310
2025-12-23,2.1201,2.4630,2.9610,3.4868
2025-12-24,2.1215,2.4620,2.9641,3.4804
2025-12-29,2.0891,2.4131,2.9225,3.4637
2025-12-30,2.1004,2.4429,2.9493,3.4734
2025-12-31,2.1085,2.4407,2.9480,3.4786
2026-01-02,2.1097,2.4594,2.9750,3.5055
2026-01-05,2.1167,2.4522,2.9627,3.4915
2026-01-06,2.0812,2.4106,2.9239,3.4661
2026-01-07,2.0676,2.3890,2.9024,3.4500
2026-01-08,2.0789,2.4101,2.9216,3.4598
2026-01-09,2.0897,2.4052,2.9259,3.4670
2026-01-12,2.0775,2.3905,2.8928,3.4275
2026-01-13,2.0778,2.3999,2.9070,3.4606
2026-01-14,2.0614,2.3796,2.8814,3.4461
2026-01-15,2.0697,2.3815,2.8687,3.4031
2026-01-16,2.0876,2.4068,2.8938,3.4264
2026-01-19,2.0601,2.3809,2.8903,3.4356
2026-01-20,2.0547,2.3995,2.9277,3.4985
2026-01-21,2.0537,2.4031,2.9330,3.5042
2026-01-22,2.0856,2.4237,2.9369,3.4927
2026-01-23,2.1049,2.4428,2.9478,3.5085
2026-01-26,2.0874,2.4157,2.9174,3.4789
2026-01-27,2.0805,2.4123,2.9212,3.4899
2026-01-28,2.0530,2.3920,2.9119,3.4915
2026-01-29,2.0362,2.3729,2.8917,3.5058
2026-01-30,2.0496,2.3789,2.9034,3.5030
2026-02-02,2.0632,2.3979,2.9151,3.5204
2026-02-03,2.0813,2.4243,2.9471,3.5566
2026-02-04,2.0625,2.3995,2.9291,3.5529
2026-02-05,2.0588,2.3974,2.9225,3.5444
2026-02-06,2.0431,2.3768,2.9032,3.5300
2026-02-09,2.0326,2.3698,2.9047,3.5578
2026-02-10,2.0295,2.3374,2.8673,3.4882
2026-02-11,2.0354,2.3450,2.8678,3.4908
2026-02-12,2.0270,2.3325,2.8433,3.4710
2026-02-13,1.9973,2.2940,2.8073,3.4372
2026-02-16,2.0047,2.3008,2.8128,3.4415
2026-02-17,2.0029,2.2826,2.7982,3.4123
2026-02-18,2.0126,2.2986,2.8031,3.4250
2026-02-19,2.0165,2.3069,2.8077,3.4333
2026-02-20,2.0135,2.3017,2.7936,3.3976
2026-02-23,2.0078,2.2823,2.7857,3.4049
2026-02-24,2.0066,2.2729,2.7715,3.3890
2026-02-25,2.0088,2.2739,2.7737,3.3945
